Year,Date,Code,Municipality,Total Area
2002,23/08/2002,5001,Medellín,20.00
2002,25/01/2002,5001,Medellín,7.00
2002,28/01/2002,5001,Medellín,4.00
2002,16/08/2002,5001,Medellín,50.00
2002,18/08/2002,5001,Medellín,8.00
2002,17/08/2002,5001,Medellín,3.20
2002,22/08/2002,5001,Medellín,3.20
2002,09/01/2002,5001,Medellín,3.00
2002,21/08/2002,5001,Medellín,3.00
2002,21/08/2002,5001,Medellín,2.50
2002,21/01/2002,5001,Medellín,2.00
2002,24/08/2002,5001,Medellín,2.00
2002,07/01/2002,5001,Medellín,1.50
2002,13/08/2002,5001,Medellín,1.00
2002,19/08/2002,5001,Medellín,1.00
2002,20/08/2002,5001,Medellín,1.00
2002,25/08/2002,5001,Medellín,1.00
2002,04/08/2002,5001,Medellín,0.64
2002,21/08/2002,5001,Medellín,0.64
2002,02/01/2002,5088,Bello,0.00
2002,03/01/2002,5088,Bello,0.00
2002,16/01/2002,5088,Bello,0.00
2002,17/01/2002,5088,Bello,0.00
2002,18/01/2002,5088,Bello,0.00
2002,19/01/2002,5088,Bello,0.00
2002,19/01/2002,5088,Bello,0.00
2002,20/01/2002,5088,Bello,0.00
2002,23/01/2002,5088,Bello,0.00
2002,24/01/2002,5088,Bello,0.00
2002,25/01/2002,5088,Bello,0.00
2002,01/02/2002,5088,Bello,0.00
2002,02/02/2002,5088,Bello,0.00
2002,15/02/2002,5088,Bello,0.00
2002,18/02/2002,5088,Bello,0.00
2002,19/02/2002,5088,Bello,0.00
2002,19/02/2002,5088,Bello,0.00
2002,19/02/2002,5088,Bello,0.00
2002,21/02/2002,5088,Bello,0.00
2002,25/02/2002,5088,Bello,0.00
2002,26/02/2002,5088,Bello,0.00
2002,27/02/2002,5088,Bello,0.00
2002,27/02/2002,5088,Bello,0.00
2002,28/02/2002,5088,Bello,0.00
2002,01/03/2002,5088,Bello,0.00
2002,01/03/2002,5088,Bello,0.00
2002,03/03/2002,5088,Bello,0.00
2002,04/03/2002,5088,Bello,0.00
2002,05/03/2002,5088,Bello,0.00
2002,07/03/2002,5088,Bello,0.00
2002,10/03/2002,5088,Bello,0.00
2002,11/03/2002,5088,Bello,0.00
2002,13/03/2002,5088,Bello,0.00
2002,15/05/2002,5088,Bello,0.00
2002,20/06/2002,5088,Bello,0.00
2002,22/06/2002,5088,Bello,0.00
2002,25/06/2002,5088,Bello,0.00
2002,30/06/2002,5088,Bello,0.00
2002,12/07/2002,5088,Bello,0.00
2002,14/07/2002,5088,Bello,0.00
2002,14/07/2002,5088,Bello,0.00
2002,29/07/2002,5088,Bello,0.00
2002,30/07/2002,5088,Bello,0.00
2002,06/08/2002,5088,Bello,0.00
2002,06/08/2002,5088,Bello,0.00
2002,16/08/2002,5088,Bello,0.00
2002,16/08/2002,5088,Bello,0.00
2002,17/08/2002,5088,Bello,0.00
2002,18/08/2002,5088,Bello,0.00
2002,18/08/2002,5088,Bello,0.00
2002,19/08/2002,5088,Bello,0.00
2002,19/08/2002,5088,Bello,0.00
2002,21/08/2002,5088,Bello,0.00
2002,22/08/2002,5088,Bello,0.00
2002,23/08/2002,5088,Bello,0.00
2002,29/08/2002,5088,Bello,0.00
2002,10/09/2002,5088,Bello,0.00
2002,13/09/2002,5088,Bello,0.00
2002,01/10/2002,5088,Bello,0.00
2002,12/10/2002,5088,Bello,0.00
2002,13/10/2002,5088,Bello,0.00
2002,14/10/2002,5088,Bello,0.00
2002,14/10/2002,5088,Bello,0.00
2002,14/10/2002,5088,Bello,0.00
2002,19/11/2002,5088,Bello,0.00
2002,20/11/2002,5088,Bello,0.00
2002,21/11/2002,5088,Bello,0.00
2002,26/11/2002,5088,Bello,0.00
